school_id,school_name,region,grade,gender,year,enrollment,performance_score,ingestion_timestamp
14,School_14,South,4,M,2021,142,87.4,2026-02-26 09:07:03.566365
46,School_46,West,12,M,2021,39,78.94,2026-02-26 09:07:03.566365
43,School_43,South,12,M,2021,83,68.65,2026-02-26 09:07:03.566365
2,School_2,South,2,F,2023,95,93.88,2026-02-26 09:07:03.566365
36,School_36,East,1,M,2023,126,73.67,2026-02-26 09:07:03.566365
6,School_6,South,4,M,2023,160,74.25,2026-02-26 09:07:03.566365
20,School_20,North,7,F,2022,76,96.64,2026-02-26 09:07:03.566365
8,School_8,South,12,F,2021,64,99.02,2026-02-26 09:07:03.566365
38,School_38,South,9,F,2024,139,95.93,2026-02-26 09:07:03.566365
17,School_17,East,9,F,2024,105,99.93,2026-02-26 09:07:03.566365
3,School_3,South,12,F,2020,57,94.76,2026-02-26 09:07:03.566365
24,School_24,West,10,F,2020,183,88.17,2026-02-26 09:07:03.566365
13,School_13,East,1,F,2024,86,71.75,2026-02-26 09:07:03.566365
49,School_49,South,5,M,2021,140,98.12,2026-02-26 09:07:03.566365
8,School_8,North,7,F,2023,145,95.07,2026-02-26 09:07:03.566365
25,School_25,North,7,F,2024,30,69.63,2026-02-26 09:07:03.566365
1,School_1,East,10,F,2024,117,79.57,2026-02-26 09:07:03.566365
19,School_19,East,6,F,2020,174,62.8,2026-02-26 09:07:03.566365
27,School_27,South,11,F,2021,106,98.13,2026-02-26 09:07:03.566365
46,School_46,West,10,M,2024,164,82.91,2026-02-26 09:07:03.566365
6,School_6,South,4,M,2023,141,69.81,2026-02-26 09:07:03.566365
43,School_43,North,3,M,2023,117,71.7,2026-02-26 09:07:03.566365
7,School_7,West,12,M,2022,52,99.23,2026-02-26 09:07:03.566365
46,School_46,West,9,M,2023,152,84.62,2026-02-26 09:07:03.566365
34,School_34,West,12,M,2024,142,76.83,2026-02-26 09:07:03.566365
13,School_13,South,10,M,2024,100,79.99,2026-02-26 09:07:03.566365
16,School_16,North,4,F,2023,81,63.94,2026-02-26 09:07:03.566365
35,School_35,East,8,F,2020,84,63.0,2026-02-26 09:07:03.566365
49,School_49,South,1,F,2021,144,83.71,2026-02-26 09:07:03.566365
39,School_39,East,7,F,2024,109,80.48,2026-02-26 09:07:03.566365
3,School_3,West,12,F,2023,63,74.37,2026-02-26 09:07:03.566365
1,School_1,West,6,F,2023,140,82.64,2026-02-26 09:07:03.566365
5,School_5,South,12,M,2024,161,62.91,2026-02-26 09:07:03.566365
41,School_41,North,1,F,2022,110,97.76,2026-02-26 09:07:03.566365
3,School_3,West,4,F,2021,76,71.75,2026-02-26 09:07:03.566365
28,School_28,East,12,F,2024,67,62.87,2026-02-26 09:07:03.566365
17,School_17,East,5,M,2023,164,66.78,2026-02-26 09:07:03.566365
25,School_25,South,11,M,2022,63,63.82,2026-02-26 09:07:03.566365
43,School_43,East,8,M,2024,151,67.14,2026-02-26 09:07:03.566365
33,School_33,North,4,F,2021,100,76.67,2026-02-26 09:07:03.566365
9,School_9,West,3,F,2022,116,89.52,2026-02-26 09:07:03.566365
35,School_35,East,2,F,2023,49,70.89,2026-02-26 09:07:03.566365
13,School_13,East,4,M,2020,140,77.44,2026-02-26 09:07:03.566365
30,School_30,West,11,M,2021,104,97.15,2026-02-26 09:07:03.566365
47,School_47,South,10,F,2022,177,71.83,2026-02-26 09:07:03.566365
14,School_14,East,4,M,2024,165,91.79,2026-02-26 09:07:03.566365
7,School_7,South,10,F,2024,103,66.31,2026-02-26 09:07:03.566365
13,School_13,South,5,M,2022,117,67.13,2026-02-26 09:07:03.566365
22,School_22,East,7,M,2024,111,78.25,2026-02-26 09:07:03.566365
39,School_39,North,9,M,2022,92,69.36,2026-02-26 09:07:03.566365
20,School_20,South,2,F,2021,191,96.12,2026-02-26 09:07:03.566365
15,School_15,East,5,M,2024,50,62.03,2026-02-26 09:07:03.566365
44,School_44,South,11,F,2021,128,83.89,2026-02-26 09:07:03.566365
17,School_17,West,10,F,2023,35,84.17,2026-02-26 09:07:03.566365
46,School_46,North,9,F,2023,114,62.64,2026-02-26 09:07:03.566365
23,School_23,North,12,M,2023,96,89.3,2026-02-26 09:07:03.566365
25,School_25,West,3,M,2023,170,78.76,2026-02-26 09:07:03.566365
24,School_24,West,1,M,2024,161,88.92,2026-02-26 09:07:03.566365
44,School_44,South,2,F,2022,21,93.08,2026-02-26 09:07:03.566365
40,School_40,West,6,M,2024,159,72.92,2026-02-26 09:07:03.566365
28,School_28,North,5,M,2024,147,79.38,2026-02-26 09:07:03.566365
14,School_14,West,1,F,2021,111,70.43,2026-02-26 09:07:03.566365
44,School_44,East,1,F,2022,43,68.06,2026-02-26 09:07:03.566365
0,School_0,East,11,F,2020,56,60.02,2026-02-26 09:07:03.566365
24,School_24,South,4,M,2020,48,98.55,2026-02-26 09:07:03.566365
6,School_6,North,12,M,2022,61,77.64,2026-02-26 09:07:03.566365
8,School_8,East,4,F,2020,37,60.52,2026-02-26 09:07:03.566365
23,School_23,West,6,M,2022,150,60.36,2026-02-26 09:07:03.566365
0,School_0,East,6,F,2021,32,71.53,2026-02-26 09:07:03.566365
43,School_43,East,10,M,2021,125,60.56,2026-02-26 09:07:03.566365
7,School_7,South,6,F,2024,176,74.98,2026-02-26 09:07:03.566365
23,School_23,West,1,M,2020,78,62.52,2026-02-26 09:07:03.566365
10,School_10,West,10,F,2022,111,61.57,2026-02-26 09:07:03.566365
16,School_16,West,9,F,2021,195,86.78,2026-02-26 09:07:03.566365
7,School_7,South,11,F,2024,23,96.27,2026-02-26 09:07:03.566365
34,School_34,West,7,M,2020,70,76.38,2026-02-26 09:07:03.566365
34,School_34,West,7,M,2020,152,93.47,2026-02-26 09:07:03.566365
32,School_32,East,11,M,2020,186,61.17,2026-02-26 09:07:03.566365
4,School_4,East,7,F,2021,60,91.11,2026-02-26 09:07:03.566365
41,School_41,West,2,F,2021,24,62.51,2026-02-26 09:07:03.566365
38,School_38,North,2,F,2020,155,93.54,2026-02-26 09:07:03.566365
40,School_40,North,6,F,2021,172,95.29,2026-02-26 09:07:03.566365
27,School_27,West,7,F,2020,110,91.44,2026-02-26 09:07:03.566365
6,School_6,North,3,F,2023,199,92.83,2026-02-26 09:07:03.566365
8,School_8,South,4,F,2021,71,82.46,2026-02-26 09:07:03.566365
7,School_7,East,12,F,2022,154,70.6,2026-02-26 09:07:03.566365
11,School_11,South,3,F,2021,66,85.73,2026-02-26 09:07:03.566365
33,School_33,East,7,M,2020,146,77.58,2026-02-26 09:07:03.566365
32,School_32,North,7,F,2022,101,60.21,2026-02-26 09:07:03.566365
47,School_47,North,4,M,2024,85,79.07,2026-02-26 09:07:03.566365
22,School_22,West,7,F,2022,152,86.05,2026-02-26 09:07:03.566365
23,School_23,North,5,M,2022,191,60.56,2026-02-26 09:07:03.566365
36,School_36,North,1,F,2021,189,84.85,2026-02-26 09:07:03.566365
34,School_34,West,10,M,2022,80,86.1,2026-02-26 09:07:03.566365
43,School_43,West,4,F,2022,69,66.32,2026-02-26 09:07:03.566365
39,School_39,East,7,F,2020,185,77.24,2026-02-26 09:07:03.566365
21,School_21,North,2,F,2021,191,98.57,2026-02-26 09:07:03.566365
26,School_26,East,2,M,2020,171,95.37,2026-02-26 09:07:03.566365
34,School_34,East,1,F,2021,147,76.43,2026-02-26 09:07:03.566365
0,School_0,South,2,M,2024,82,73.99,2026-02-26 09:07:03.566365
34,School_34,North,10,M,2022,186,64.96,2026-02-26 09:07:03.566365
36,School_36,North,8,M,2021,159,61.41,2026-02-26 09:07:03.566365
46,School_46,South,11,M,2022,122,71.9,2026-02-26 09:07:03.566365
13,School_13,East,8,M,2022,28,97.61,2026-02-26 09:07:03.566365
2,School_2,North,8,F,2023,98,98.34,2026-02-26 09:07:03.566365
0,School_0,East,1,M,2020,106,92.5,2026-02-26 09:07:03.566365
4,School_4,South,1,M,2021,128,74.03,2026-02-26 09:07:03.566365
25,School_25,West,12,M,2024,41,65.75,2026-02-26 09:07:03.566365
13,School_13,East,10,M,2023,55,83.82,2026-02-26 09:07:03.566365
38,School_38,North,4,F,2020,93,85.86,2026-02-26 09:07:03.566365
26,School_26,West,6,F,2024,175,76.98,2026-02-26 09:07:03.566365
8,School_8,East,8,F,2024,75,87.67,2026-02-26 09:07:03.566365
14,School_14,East,2,M,2022,118,89.87,2026-02-26 09:07:03.566365
14,School_14,West,3,M,2020,176,91.32,2026-02-26 09:07:03.566365
25,School_25,West,6,M,2023,24,80.09,2026-02-26 09:07:03.566365
41,School_41,West,10,F,2021,23,91.67,2026-02-26 09:07:03.566365
12,School_12,North,4,M,2021,198,61.02,2026-02-26 09:07:03.566365
31,School_31,North,12,F,2023,34,87.22,2026-02-26 09:07:03.566365
38,School_38,East,2,M,2022,45,69.43,2026-02-26 09:07:03.566365
48,School_48,East,7,M,2022,42,70.82,2026-02-26 09:07:03.566365
31,School_31,South,4,F,2024,144,63.65,2026-02-26 09:07:03.566365
3,School_3,North,8,M,2020,122,67.7,2026-02-26 09:07:03.566365
29,School_29,East,8,F,2024,48,99.68,2026-02-26 09:07:03.566365
36,School_36,West,7,M,2021,105,76.62,2026-02-26 09:07:03.566365
22,School_22,West,10,F,2023,76,97.11,2026-02-26 09:07:03.566365
38,School_38,North,9,M,2020,81,66.52,2026-02-26 09:07:03.566365
44,School_44,West,4,M,2023,67,68.16,2026-02-26 09:07:03.566365
14,School_14,South,7,M,2020,130,82.31,2026-02-26 09:07:03.566365
42,School_42,East,10,M,2021,54,73.98,2026-02-26 09:07:03.566365
28,School_28,East,10,M,2021,65,85.76,2026-02-26 09:07:03.566365
35,School_35,East,12,F,2020,52,76.88,2026-02-26 09:07:03.566365
12,School_12,North,1,F,2022,90,92.46,2026-02-26 09:07:03.566365
31,School_31,West,4,M,2020,29,77.26,2026-02-26 09:07:03.566365
6,School_6,South,2,F,2021,195,82.89,2026-02-26 09:07:03.566365
21,School_21,North,9,F,2023,63,72.84,2026-02-26 09:07:03.566365
27,School_27,East,5,F,2024,145,88.16,2026-02-26 09:07:03.566365
1,School_1,South,3,F,2023,133,86.19,2026-02-26 09:07:03.566365
41,School_41,East,4,M,2021,142,75.88,2026-02-26 09:07:03.566365
44,School_44,East,6,F,2023,82,71.04,2026-02-26 09:07:03.566365
5,School_5,North,10,F,2022,68,84.56,2026-02-26 09:07:03.566365
27,School_27,East,1,M,2022,104,97.73,2026-02-26 09:07:03.566365
27,School_27,South,7,M,2020,60,65.31,2026-02-26 09:07:03.566365
43,School_43,East,8,M,2023,117,91.96,2026-02-26 09:07:03.566365
43,School_43,West,7,M,2023,58,81.72,2026-02-26 09:07:03.566365
19,School_19,East,7,M,2021,126,81.02,2026-02-26 09:07:03.566365
29,School_29,North,9,M,2020,170,98.47,2026-02-26 09:07:03.566365
10,School_10,South,4,M,2020,32,84.23,2026-02-26 09:07:03.566365
27,School_27,North,7,M,2023,125,93.22,2026-02-26 09:07:03.566365
24,School_24,West,9,F,2024,130,80.58,2026-02-26 09:07:03.566365
38,School_38,East,5,M,2023,89,69.99,2026-02-26 09:07:03.566365
32,School_32,North,2,F,2023,76,87.78,2026-02-26 09:07:03.566365
0,School_0,North,5,M,2023,95,96.93,2026-02-26 09:07:03.566365
26,School_26,North,4,M,2022,195,93.65,2026-02-26 09:07:03.566365
12,School_12,North,8,F,2020,39,67.93,2026-02-26 09:07:03.566365
40,School_40,West,5,M,2022,81,72.68,2026-02-26 09:07:03.566365
2,School_2,West,9,M,2024,192,80.68,2026-02-26 09:07:03.566365
38,School_38,East,9,F,2021,82,82.86,2026-02-26 09:07:03.566365
5,School_5,East,3,F,2024,155,67.75,2026-02-26 09:07:03.566365
7,School_7,South,10,F,2020,173,69.2,2026-02-26 09:07:03.566365
26,School_26,West,6,F,2021,57,90.35,2026-02-26 09:07:03.566365
8,School_8,North,6,F,2024,111,89.21,2026-02-26 09:07:03.566365
36,School_36,North,4,F,2020,118,93.57,2026-02-26 09:07:03.566365
32,School_32,South,11,M,2024,127,97.32,2026-02-26 09:07:03.566365
41,School_41,North,10,M,2021,124,72.33,2026-02-26 09:07:03.566365
43,School_43,South,3,M,2021,188,94.38,2026-02-26 09:07:03.566365
23,School_23,East,1,M,2024,126,86.64,2026-02-26 09:07:03.566365
14,School_14,West,12,M,2022,121,98.31,2026-02-26 09:07:03.566365
31,School_31,South,7,F,2024,149,70.88,2026-02-26 09:07:03.566365
31,School_31,North,5,F,2024,26,70.79,2026-02-26 09:07:03.566365
23,School_23,South,10,M,2024,146,88.17,2026-02-26 09:07:03.566365
40,School_40,East,7,F,2022,124,97.14,2026-02-26 09:07:03.566365
48,School_48,North,1,M,2023,172,92.98,2026-02-26 09:07:03.566365
48,School_48,East,8,F,2021,70,89.08,2026-02-26 09:07:03.566365
11,School_11,East,3,M,2020,69,75.49,2026-02-26 09:07:03.566365
38,School_38,South,7,M,2021,83,88.71,2026-02-26 09:07:03.566365
1,School_1,East,12,M,2021,159,92.04,2026-02-26 09:07:03.566365
2,School_2,North,3,F,2023,94,90.13,2026-02-26 09:07:03.566365
48,School_48,East,3,F,2021,29,87.07,2026-02-26 09:07:03.566365
36,School_36,East,10,M,2021,118,61.89,2026-02-26 09:07:03.566365
48,School_48,South,9,F,2022,87,86.39,2026-02-26 09:07:03.566365
16,School_16,East,2,M,2022,189,79.13,2026-02-26 09:07:03.566365
48,School_48,West,4,M,2022,85,98.46,2026-02-26 09:07:03.566365
1,School_1,South,6,F,2022,191,84.29,2026-02-26 09:07:03.566365
1,School_1,South,3,M,2022,47,84.33,2026-02-26 09:07:03.566365
27,School_27,North,12,M,2020,126,99.76,2026-02-26 09:07:03.566365
22,School_22,North,10,M,2023,129,63.74,2026-02-26 09:07:03.566365
36,School_36,North,10,F,2024,130,71.05,2026-02-26 09:07:03.566365
31,School_31,North,7,M,2022,97,86.24,2026-02-26 09:07:03.566365
32,School_32,West,7,M,2023,112,72.61,2026-02-26 09:07:03.566365
0,School_0,South,5,M,2024,149,73.85,2026-02-26 09:07:03.566365
18,School_18,East,3,M,2021,53,95.71,2026-02-26 09:07:03.566365
1,School_1,North,2,F,2021,167,83.17,2026-02-26 09:07:03.566365
43,School_43,North,4,M,2023,66,64.11,2026-02-26 09:07:03.566365
25,School_25,North,4,M,2020,137,72.43,2026-02-26 09:07:03.566365
31,School_31,East,11,F,2020,147,63.04,2026-02-26 09:07:03.566365
5,School_5,North,8,F,2023,45,82.25,2026-02-26 09:07:03.566365
31,School_31,East,8,F,2020,103,66.93,2026-02-26 09:07:03.566365
3,School_3,South,5,F,2020,20,94.28,2026-02-26 09:07:03.566365
10,School_10,South,6,F,2021,116,83.09,2026-02-26 09:07:03.566365
16,School_16,South,8,F,2020,106,62.38,2026-02-26 09:07:03.566365
37,School_37,West,1,M,2020,94,72.04,2026-02-26 09:07:03.566365
23,School_23,East,5,M,2023,127,84.65,2026-02-26 09:07:03.566365
4,School_4,North,4,F,2020,34,73.42,2026-02-26 09:07:03.566365
33,School_33,North,4,M,2022,161,80.53,2026-02-26 09:07:03.566365
5,School_5,North,11,F,2022,74,96.37,2026-02-26 09:07:03.566365
21,School_21,North,2,M,2023,148,74.0,2026-02-26 09:07:03.566365
10,School_10,West,10,F,2022,52,73.43,2026-02-26 09:07:03.566365
47,School_47,North,1,F,2021,89,92.79,2026-02-26 09:07:03.566365
15,School_15,West,6,M,2023,75,72.75,2026-02-26 09:07:03.566365
32,School_32,East,7,F,2020,42,63.12,2026-02-26 09:07:03.566365
8,School_8,South,5,M,2022,73,67.24,2026-02-26 09:07:03.566365
5,School_5,North,8,F,2021,109,97.95,2026-02-26 09:07:03.566365
15,School_15,South,9,F,2023,150,97.33,2026-02-26 09:07:03.566365
28,School_28,East,11,M,2023,65,68.99,2026-02-26 09:07:03.566365
2,School_2,East,11,F,2020,153,82.14,2026-02-26 09:07:03.566365
19,School_19,North,2,M,2024,172,65.49,2026-02-26 09:07:03.566365
35,School_35,East,11,M,2022,36,86.99,2026-02-26 09:07:03.566365
18,School_18,South,4,M,2021,175,67.41,2026-02-26 09:07:03.566365
25,School_25,North,11,M,2023,179,61.99,2026-02-26 09:07:03.566365
2,School_2,West,9,M,2022,112,93.0,2026-02-26 09:07:03.566365
18,School_18,North,5,F,2021,42,73.02,2026-02-26 09:07:03.566365
19,School_19,South,3,F,2021,163,64.34,2026-02-26 09:07:03.566365
31,School_31,North,6,M,2023,115,93.36,2026-02-26 09:07:03.566365
6,School_6,North,3,F,2022,173,90.5,2026-02-26 09:07:03.566365
40,School_40,South,5,M,2021,180,87.35,2026-02-26 09:07:03.566365
32,School_32,North,3,F,2023,195,96.45,2026-02-26 09:07:03.566365
39,School_39,North,6,M,2022,102,79.57,2026-02-26 09:07:03.566365
38,School_38,South,12,F,2022,74,65.12,2026-02-26 09:07:03.566365
17,School_17,East,10,M,2023,188,62.45,2026-02-26 09:07:03.566365
39,School_39,South,5,F,2022,81,72.74,2026-02-26 09:07:03.566365
0,School_0,North,9,M,2024,164,63.47,2026-02-26 09:07:03.566365
10,School_10,West,3,M,2021,121,81.42,2026-02-26 09:07:03.566365
27,School_27,West,6,F,2021,78,60.58,2026-02-26 09:07:03.566365
24,School_24,South,8,M,2022,161,77.75,2026-02-26 09:07:03.566365
49,School_49,West,7,M,2023,168,67.14,2026-02-26 09:07:03.566365
22,School_22,North,6,F,2020,193,74.73,2026-02-26 09:07:03.566365
30,School_30,North,2,F,2022,74,87.0,2026-02-26 09:07:03.566365
29,School_29,South,7,M,2020,81,74.04,2026-02-26 09:07:03.566365
41,School_41,North,8,M,2022,186,73.65,2026-02-26 09:07:03.566365
34,School_34,East,1,M,2020,189,99.63,2026-02-26 09:07:03.566365
6,School_6,North,9,M,2022,67,88.75,2026-02-26 09:07:03.566365
15,School_15,South,4,F,2023,122,80.55,2026-02-26 09:07:03.566365
25,School_25,East,8,M,2020,47,83.18,2026-02-26 09:07:03.566365
47,School_47,East,10,M,2024,103,84.81,2026-02-26 09:07:03.566365
48,School_48,West,7,F,2023,153,60.98,2026-02-26 09:07:03.566365
1,School_1,North,10,F,2022,78,63.21,2026-02-26 09:07:03.566365
0,School_0,South,7,M,2020,109,85.97,2026-02-26 09:07:03.566365
47,School_47,West,2,F,2021,89,74.58,2026-02-26 09:07:03.566365
11,School_11,West,1,F,2023,186,62.22,2026-02-26 09:07:03.566365
4,School_4,North,4,F,2020,79,71.9,2026-02-26 09:07:03.566365
36,School_36,North,12,M,2023,164,65.21,2026-02-26 09:07:03.566365
31,School_31,South,2,M,2020,187,96.65,2026-02-26 09:07:03.566365
8,School_8,West,8,M,2021,85,68.12,2026-02-26 09:07:03.566365
40,School_40,South,10,F,2024,134,65.75,2026-02-26 09:07:03.566365
34,School_34,West,7,M,2021,143,85.05,2026-02-26 09:07:03.566365
18,School_18,West,8,M,2022,90,80.88,2026-02-26 09:07:03.566365
47,School_47,West,11,M,2023,63,83.04,2026-02-26 09:07:03.566365
15,School_15,North,6,F,2024,103,77.44,2026-02-26 09:07:03.566365
2,School_2,West,1,M,2023,76,78.69,2026-02-26 09:07:03.566365
19,School_19,West,12,M,2020,55,91.15,2026-02-26 09:07:03.566365
23,School_23,West,9,M,2022,76,68.8,2026-02-26 09:07:03.566365
32,School_32,East,6,M,2022,140,75.86,2026-02-26 09:07:03.566365
23,School_23,North,12,F,2023,190,98.31,2026-02-26 09:07:03.566365
10,School_10,East,10,M,2022,63,67.6,2026-02-26 09:07:03.566365
48,School_48,North,1,M,2023,81,71.75,2026-02-26 09:07:03.566365
7,School_7,South,1,F,2020,134,67.66,2026-02-26 09:07:03.566365
35,School_35,East,8,F,2020,102,60.82,2026-02-26 09:07:03.566365
37,School_37,South,6,F,2023,80,70.79,2026-02-26 09:07:03.566365
39,School_39,West,8,F,2021,113,61.86,2026-02-26 09:07:03.566365
19,School_19,South,8,F,2021,30,66.19,2026-02-26 09:07:03.566365
34,School_34,South,11,M,2020,96,74.51,2026-02-26 09:07:03.566365
47,School_47,South,8,F,2024,139,60.83,2026-02-26 09:07:03.566365
24,School_24,South,10,F,2021,180,90.12,2026-02-26 09:07:03.566365
34,School_34,North,7,F,2023,121,91.82,2026-02-26 09:07:03.566365
24,School_24,East,7,M,2020,140,76.46,2026-02-26 09:07:03.566365
28,School_28,North,10,M,2022,131,99.39,2026-02-26 09:07:03.566365
17,School_17,North,4,M,2022,85,87.16,2026-02-26 09:07:03.566365
45,School_45,North,9,F,2021,129,89.75,2026-02-26 09:07:03.566365
17,School_17,South,12,M,2024,139,67.69,2026-02-26 09:07:03.566365
1,School_1,North,2,F,2021,42,93.5,2026-02-26 09:07:03.566365
34,School_34,East,11,F,2024,196,97.8,2026-02-26 09:07:03.566365
15,School_15,North,9,M,2021,167,69.45,2026-02-26 09:07:03.566365
40,School_40,West,10,M,2022,34,87.46,2026-02-26 09:07:03.566365
35,School_35,South,3,M,2024,49,89.88,2026-02-26 09:07:03.566365
32,School_32,West,2,F,2022,23,72.21,2026-02-26 09:07:03.566365
3,School_3,East,4,M,2023,83,79.0,2026-02-26 09:07:03.566365
32,School_32,East,5,M,2023,84,63.9,2026-02-26 09:07:03.566365
13,School_13,East,2,M,2020,27,66.92,2026-02-26 09:07:03.566365
20,School_20,East,1,M,2022,71,62.46,2026-02-26 09:07:03.566365
47,School_47,North,10,M,2022,161,82.41,2026-02-26 09:07:03.566365
19,School_19,South,11,F,2020,77,85.01,2026-02-26 09:07:03.566365
7,School_7,East,5,F,2023,30,96.64,2026-02-26 09:07:03.566365
6,School_6,West,9,M,2023,78,81.69,2026-02-26 09:07:03.566365
2,School_2,East,12,F,2024,43,70.42,2026-02-26 09:07:03.566365
16,School_16,South,12,F,2024,107,62.38,2026-02-26 09:07:03.566365
32,School_32,West,5,F,2023,179,95.4,2026-02-26 09:07:03.566365
47,School_47,West,12,M,2021,65,79.15,2026-02-26 09:07:03.566365
11,School_11,West,11,F,2022,47,89.49,2026-02-26 09:07:03.566365
21,School_21,North,10,M,2024,35,60.59,2026-02-26 09:07:03.566365
21,School_21,East,9,F,2021,61,79.53,2026-02-26 09:07:03.566365
45,School_45,North,12,M,2024,122,73.03,2026-02-26 09:07:03.566365
29,School_29,West,10,F,2020,35,61.21,2026-02-26 09:07:03.566365
37,School_37,North,6,F,2022,119,91.03,2026-02-26 09:07:03.566365
37,School_37,North,3,M,2024,159,80.52,2026-02-26 09:07:03.566365
44,School_44,North,4,M,2023,53,73.33,2026-02-26 09:07:03.566365
7,School_7,East,4,F,2020,57,92.23,2026-02-26 09:07:03.566365
26,School_26,West,1,M,2020,146,77.88,2026-02-26 09:07:03.566365
26,School_26,West,3,M,2023,194,60.14,2026-02-26 09:07:03.566365
33,School_33,East,3,M,2020,41,97.78,2026-02-26 09:07:03.566365
20,School_20,North,1,M,2022,99,70.23,2026-02-26 09:07:03.566365
29,School_29,North,9,F,2024,107,93.22,2026-02-26 09:07:03.566365
32,School_32,South,11,M,2020,22,92.66,2026-02-26 09:07:03.566365
27,School_27,South,1,F,2022,20,66.49,2026-02-26 09:07:03.566365
46,School_46,South,9,F,2023,72,78.96,2026-02-26 09:07:03.566365
32,School_32,East,1,M,2024,191,61.61,2026-02-26 09:07:03.566365
4,School_4,West,2,M,2023,66,74.18,2026-02-26 09:07:03.566365
47,School_47,South,2,M,2024,185,89.24,2026-02-26 09:07:03.566365
18,School_18,West,6,M,2020,134,69.48,2026-02-26 09:07:03.566365
3,School_3,West,7,F,2020,60,64.69,2026-02-26 09:07:03.566365
34,School_34,West,11,F,2024,168,80.28,2026-02-26 09:07:03.566365
48,School_48,East,1,M,2022,192,81.48,2026-02-26 09:07:03.566365
16,School_16,East,3,F,2022,160,87.03,2026-02-26 09:07:03.566365
43,School_43,East,2,M,2022,85,90.37,2026-02-26 09:07:03.566365
27,School_27,East,8,F,2021,62,87.83,2026-02-26 09:07:03.566365
29,School_29,South,9,F,2022,108,93.82,2026-02-26 09:07:03.566365
28,School_28,North,2,F,2020,195,68.92,2026-02-26 09:07:03.566365
45,School_45,North,2,M,2021,132,82.79,2026-02-26 09:07:03.566365
5,School_5,North,10,M,2022,45,74.4,2026-02-26 09:07:03.566365
34,School_34,South,9,F,2020,118,98.48,2026-02-26 09:07:03.566365
40,School_40,North,4,M,2021,80,77.61,2026-02-26 09:07:03.566365
36,School_36,South,5,M,2020,144,98.39,2026-02-26 09:07:03.566365
23,School_23,South,11,F,2024,138,90.76,2026-02-26 09:07:03.566365
28,School_28,South,9,M,2020,81,88.74,2026-02-26 09:07:03.566365
48,School_48,North,6,M,2021,101,79.66,2026-02-26 09:07:03.566365
45,School_45,West,10,F,2022,161,77.74,2026-02-26 09:07:03.566365
30,School_30,North,12,F,2021,188,81.06,2026-02-26 09:07:03.566365
34,School_34,North,9,F,2022,156,71.75,2026-02-26 09:07:03.566365
32,School_32,East,9,F,2022,63,96.18,2026-02-26 09:07:03.566365
20,School_20,South,7,M,2023,75,91.77,2026-02-26 09:07:03.566365
31,School_31,West,12,M,2024,22,92.06,2026-02-26 09:07:03.566365
22,School_22,East,10,F,2023,117,77.33,2026-02-26 09:07:03.566365
32,School_32,West,9,F,2021,116,62.84,2026-02-26 09:07:03.566365
